Topic,Top Words
Topic 0,"['thought', 'group', 'would', 'like', 'yes', 'join', 'might', 'try', 'link', 'omg']"
Topic 1,"['deed', 'km', 'deposit', 'balance', 'month', 'title', 'plot', 'inclusive', 'malindi', 'size']"
Topic 2,"['testimony', 'woman', 'mama', 'problem', 'different', 'back', 'name', 'went', 'hour', 'solved']"
Topic 3,"['funny', 'omg', 'reality', 'reel', 'goodrelaxing', 'relax', 'amazing', 'good', 'amazingvideo', 'omgvideo']"
Topic 4,"['ownership', 'investment', 'home', 'call', 'whatsapp', 'journey', 'land', 'talk', 'start', 'kindly']"
Topic 5,"['passport', 'salary', 'needed', 'conduct', 'house', 'qatar', 'job', 'requirement', 'commission', 'dubai']"
Topic 6,"['rizik', 'mami', 'sibling', 'passed', 'alot', 'lost', 'thing', 'family', 'back', 'people']"
Topic 7,"['thing', 'life', 'interesting', 'seen', 'many', 'new', 'strange', 'know', 'dont', 'full']"
Topic 8,"['callwhatsapp', 'invest', 'kindly', 'inquiry', 'affordable', 'detail', 'today', 'plot', 'housing', 'unit']"
Topic 9,"['bed', 'al', 'aed', 'metro', 'available', 'minute', 'jafiliya', 'upper', 'bus', 'lower']"
Topic 10,"['whatsapp', 'tuchat', 'goody', 'let', 'call', 'imo', 'ama', 'chat', 'tu', 'number']"
Topic 11,"['please', 'help', 'god', 'let', 'dont', 'life', 'need', 'may', 'bless', 'kenyan']"
Topic 12,"['letter', 'cv', 'certificate', 'recommendation', 'affordable', 'professional', 'following', 'applicationcover', 'many', 'modern']"
Topic 13,"['video', 'nice', 'watch', 'interesting', 'feel', 'short', 'great', 'like', 'omg', 'cant']"
Topic 14,"['plot', 'sale', 'eldoret', 'kes', 'million', 'title', 'ready', 'prime', 'highway', 'commercial']"
Topic 15,"['door', 'saudi', 'cleaner', 'looking', 'anad', 'housemaid', 'lebanon', 'dubaiturkey', 'gone', 'training']"
Topic 16,"['study', 'application', 'australia', 'bible', 'invited', 'visa', 'join', 'free', 'link', 'canada']"
Topic 17,"['big', 'vip', 'bet', 'odds', 'th', 'text', 'call', 'interested', 'winning', 'whatsapp']"
Topic 18,"['available', 'delivery', 'suit', 'trucksuit', 'full', 'old', 'whatsapp', 'year', 'shoe', 'kid']"
Topic 19,"['trending', 'funny', 'happy', 'amazing', 'fyp', 'omgvideo', 'new', 'reality', 'funnyvideos', 'funnyreels']"
Topic 20,"['spell', 'love', 'mercy', 'thank', 'mama', 'caster', 'much', 'cast', 'back', 'think']"
Topic 21,"['bedroom', 'ensuite', 'room', 'kitchen', 'area', 'bungalow', 'house', 'master', 'design', 'unit']"
Topic 22,"['ksh', 'month', 'upto', 'acre', 'loan', 'charge', 'number', 'offer', 'kindly', 'farm']"
Topic 23,"['site', 'visit', 'book', 'free', 'call', 'information', 'saturday', 'booking', 'juja', 'today']"
Topic 24,"['everyone', 'earning', 'congratulation', 'registration', 'benefited', 'ask', 'weekly', 'link', 'daily', 'instant']"
Topic 25,"['job', 'day', 'told', 'mama', 'sarah', 'got', 'husband', 'time', 'want', 'get']"
Topic 26,"['diani', 'home', 'palm', 'certified', 'invest', 'ltd', 'sese', 'ann', 'best', 'beach']"
Topic 27,"['amazing', 'reel', 'funny', 'shortvideo', 'oh', 'surprise', 'interesting', 'thats', 'cr', 'wow']"
Topic 28,"['location', 'call', 'piece', 'nairobi', 'delivery', 'stone', 'machine', 'transport', 'order', 'cost']"
Topic 29,"['vlogs', 'click', 'subscribe', 'channel', 'watch', 'youtube', 'family', 'travel', 'welcome', 'fun']"
